count,lang,category,raw_token,norm_token,pred_token
35,sr,over_normalized,",",",",",,"
29,th,over_normalized,_,_,4
24,en,over_normalized,rt,rt,retweet
24,ja,missed_change,、,。,、
21,de,missed_change,ich,Ich,ich
21,th,missed_change,อ่ะ,อะ,อ่ะ
20,ja,missed_change,ん,の,ん
18,ja,wrong_correction,ん,の,です
17,hr,over_normalized,a,a,i
16,ja,wrong_correction,…,… 。,……
15,ja,missed_change,です,です 。,です
15,sl,missed_change,se,še,se
14,ja,missed_change,…,… 。,…
14,ja,missed_change,て,て い,て
14,sl,over_normalized,ne,ne,not
14,th,over_normalized,_,_,ทำ
13,en,over_normalized,i,i,I
13,sl,over_normalized,da,da,that
13,th,over_normalized,_,_,1
12,iden,over_normalized,",",",",koma
12,ja,over_normalized,…,…,……
12,th,over_normalized,_,_,ไม่
12,vi,wrong_correction,t,tao,tôi
11,de,wrong_correction,hab,habe,have
11,hr,missed_change,ko,kao,ko
11,th,over_normalized,_,_,ตอน
10,hr,missed_change,bi,bih,bi
10,sl,over_normalized,si,si,je
10,sl,over_normalized,v,v,in
10,sl,over_normalized,za,za,for
10,sl,over_normalized,sam,sam,samo
10,sr,over_normalized,a,a,i
10,sr,over_normalized,tviter,tviter,twitter
9,de,missed_change,ja,Ja,ja
8,hr,missed_change,ko,tko,ko
8,hr,over_normalized,sa,sa,s
8,ja,over_normalized,ます,ます,です
8,ja,wrong_correction,って,は,と
8,sl,over_normalized,je,je,is
8,sr,over_normalized,ljudi,ljudi,ljude
8,sr,over_normalized,što,što,sto
8,th,over_normalized,เลย,เลย,แล้ว
8,th,wrong_correction,หรอ,เหรอ,หรือ
8,th,missed_change,ละ,แล้ว,ละ
8,th,over_normalized,ไป,ไป,go
7,ja,missed_change,ね,ね 。,ね
7,ja,missed_change,って,と,って
7,ja,wrong_correction,て,て い,って
7,sl,missed_change,ma,ima,ma
7,sl,wrong_correction,k,ki,ka
7,th,over_normalized,ละ,ละ,lah
7,th,missed_change,จ้า,จ้ะ,จ้า
7,th,missed_change,น้า,นะ,น้า
7,th,over_normalized,_,_,ได้
7,vi,wrong_correction,m,mình,mày
6,de,missed_change,die,Die,die
6,en,over_normalized,wtf,wtf,what thefuck
6,hr,over_normalized,),),))
6,hr,missed_change,kaj,što,kaj
6,id,missed_change,@adiadrian_ds,[mention],@adiadrian_ds
6,ja,missed_change,ます,ます 。,ます
6,ja,wrong_correction,ん,の,んです
6,ja,over_normalized,の,の,の bergen
6,nl,missed_change,Wijntje,Wijn,Wijntje
6,sl,over_normalized,in,in,v
6,sl,over_normalized,so,so,tako
6,sl,wrong_correction,k,ko,ker
6,sl,over_normalized,mi,mi,me
6,sr,over_normalized,tviteru,tviteru,twitteru
6,th,over_normalized,เค้า,เค้า,เขา
6,th,over_normalized,ไรท์,ไรท์,writer
6,th,over_normalized,คน,คน,people
