raw,norm,count,raw_total,changed_confidence,raw_confidence,pattern
monti,Monti,15,18,1.0,0.8333,case_change
nn,non,14,14,1.0,1.0,other_substitution
é,è,13,13,1.0,1.0,accent_or_diacritic_restore
Governo,governo,12,54,1.0,0.2222,case_change
e',è,8,12,1.0,0.6667,accent_or_apostrophe_restore
NON,non,7,7,1.0,1.0,case_change
MONTI,Monti,7,8,0.875,0.875,case_change
I,i,6,15,1.0,0.4,case_change
E,e,6,12,1.0,0.5,case_change
CHE,che,6,6,1.0,1.0,case_change
Si,Sì,6,10,1.0,0.6,accent_or_apostrophe_restore
perchè,perché,6,6,1.0,1.0,accent_or_diacritic_restore
ROMA,Roma,5,6,0.8333,0.8333,case_change
GOVERNO,governo,5,5,1.0,1.0,case_change
ke,che,5,5,1.0,1.0,other_substitution
x,per,5,7,1.0,0.7143,expansion_or_abbreviation_restore
IL,il,5,7,0.7143,0.7143,case_change
E',È,5,8,0.625,0.625,accent_or_apostrophe_restore
La,la,4,39,1.0,0.1026,case_change
nov,novembre,4,4,1.0,1.0,expansion_or_abbreviation_restore
DEL,del,4,4,1.0,1.0,case_change
gia,già,4,4,1.0,1.0,accent_or_apostrophe_restore
MARIO,Mario,4,4,1.0,1.0,case_change
ITALIA,Italia,4,8,1.0,0.5,case_change
Of,of,4,11,1.0,0.3636,case_change
de,di,4,6,1.0,0.6667,other_substitution
MALE,male,3,3,1.0,1.0,case_change
DEI,dei,3,3,1.0,1.0,case_change
è,È,3,128,1.0,0.0234,case_change
Cmq,Comunque,3,4,0.75,0.75,expansion_or_abbreviation_restore
E',è,3,8,0.375,0.375,accent_or_apostrophe_restore
IN,in,3,3,1.0,1.0,case_change
puo',può,3,3,1.0,1.0,accent_or_apostrophe_restore
Cgil,CGIL,3,3,1.0,1.0,case_change
Cisl,CISL,3,3,1.0,1.0,case_change
Uil,UIL,3,3,1.0,1.0,case_change
niall,Niall,3,3,1.0,1.0,case_change
cosi,così,3,3,1.0,1.0,accent_or_apostrophe_restore
mario,Mario,3,3,1.0,1.0,case_change
AL,al,3,3,1.0,1.0,case_change
Pd,PD,3,4,1.0,0.75,case_change
Beppeee,Beppe,3,3,1.0,1.0,repeated_char_reduction
COME,come,3,3,1.0,1.0,case_change
App,app,3,3,1.0,1.0,case_change
Vinci,vinci,3,4,1.0,0.75,case_change
Serie,serie,3,3,1.0,1.0,case_change
la,La,2,126,0.6667,0.0159,case_change
IL,Il,2,7,0.2857,0.2857,case_change
LA,la,2,5,0.4,0.4,case_change
SULLA,sulla,2,2,1.0,1.0,case_change
si,Sì,2,42,0.4,0.0476,accent_or_apostrophe_restore
one,One,2,2,1.0,1.0,case_change
direction,Direction,2,2,1.0,1.0,case_change
iphone,iPhone,2,2,1.0,1.0,case_change
POLITICA,Politica,2,2,1.0,1.0,case_change
perche',perché,2,2,1.0,1.0,accent_or_apostrophe_restore
DELLA,della,2,2,1.0,1.0,case_change
HANNO,hanno,2,2,1.0,1.0,case_change
SKY,Sky,2,2,1.0,1.0,case_change
si,sì,2,42,0.4,0.0476,accent_or_apostrophe_restore
BERLUSCONI,Berlusconi,2,2,1.0,1.0,case_change
SULL',sull',2,2,1.0,1.0,case_change
PER,per,2,2,1.0,1.0,case_change
UN,un,2,2,1.0,1.0,case_change
info,informazioni,2,3,1.0,0.6667,expansion_or_abbreviation_restore
LIVE,live,2,2,1.0,1.0,case_change
Vittorie,vittorie,2,2,1.0,1.0,case_change
Gol,gol,2,3,1.0,0.6667,case_change
VITA,vita,2,2,1.0,1.0,case_change
pero',però,2,2,1.0,1.0,accent_or_apostrophe_restore
dx,destra,2,2,1.0,1.0,expansion_or_abbreviation_restore
sx,sinistra,2,3,0.6667,0.6667,expansion_or_abbreviation_restore
Presidente,presidente,2,6,1.0,0.3333,case_change
Consiglio,consiglio,2,5,1.0,0.4,case_change
EuroBANCA,Eurobanca,2,6,1.0,0.3333,case_change
italia,Italia,2,4,1.0,0.5,case_change
RENASCER,Renascer,2,2,1.0,1.0,case_change
RESTART,Restart,2,2,1.0,1.0,case_change
SUL,sul,2,2,1.0,1.0,case_change
transloco,trasloco,2,2,1.0,1.0,other_substitution
Paese,paese,2,7,1.0,0.2857,case_change
Che,che,2,14,1.0,0.1429,case_change
Tg24,TG24,2,2,1.0,1.0,case_change
sti,questi,2,2,1.0,1.0,expansion_or_abbreviation_restore
passera,Passera,2,3,1.0,0.6667,case_change
e,è,2,202,0.5,0.0099,accent_or_apostrophe_restore
santoro,Santoro,2,2,1.0,1.0,case_change
Repubblica,repubblica,2,5,1.0,0.4,case_change
DI,di,2,2,1.0,1.0,case_change
Rai,RAI,2,2,1.0,1.0,case_change
vorrei,Vorrei,2,5,1.0,0.4,case_change
e,E,2,202,0.5,0.0099,case_change
i,I,2,63,1.0,0.0317,case_change
cn,con,2,2,1.0,1.0,other_substitution
Tg1,TG1,2,2,1.0,1.0,case_change
LOST,Lost,2,2,1.0,1.0,case_change
Maggio,maggio,2,2,1.0,1.0,case_change
far,fare,2,4,1.0,0.5,other_substitution
ne,né,2,10,1.0,0.2,accent_or_apostrophe_restore
opposiz,opposizione,2,2,1.0,1.0,expansion_or_abbreviation_restore
il,Il,2,164,0.6667,0.0122,case_change
sta,questa,2,12,1.0,0.1667,expansion_or_abbreviation_restore
L',l',2,12,1.0,0.1667,case_change
A,a,2,5,1.0,0.4,case_change
Set,set,2,3,1.0,0.6667,case_change
Euro,Europa,2,2,1.0,1.0,expansion_or_abbreviation_restore
governo,Governo,2,154,1.0,0.013,case_change
qnti,quanti,2,2,1.0,1.0,expansion_or_abbreviation_restore
STO,Sto,1,2,0.5,0.5,case_change
crosetto,Crosetto,1,1,1.0,1.0,case_change
Suite,suite,1,2,1.0,0.5,case_change
gen,gennaio,1,1,1.0,1.0,expansion_or_abbreviation_restore
sever...,severa,1,1,1.0,1.0,other_substitution
Corsera,Corriere della Sera,1,2,1.0,0.5,whitespace_change
QUANDO,quando,1,1,1.0,1.0,case_change
CAPIRETE,capirete,1,1,1.0,1.0,case_change
CREDERE,credere,1,1,1.0,1.0,case_change
NELLA,nella,1,1,1.0,1.0,case_change
ZERRIE,Zerrie,1,1,1.0,1.0,case_change
CORRISPONDE,corrisponde,1,1,1.0,1.0,case_change
AD,ad,1,1,1.0,1.0,case_change
ODIARE,odiare,1,1,1.0,1.0,case_change
PERRIE,Perrie,1,1,1.0,1.0,case_change
O,o,1,1,1.0,1.0,case_change
INSULTARLA,insultarla,1,1,1.0,1.0,case_change
MINCHIA,minchia,1,1,1.0,1.0,case_change
AVETE,avete,1,1,1.0,1.0,case_change
sogget,soggetto,1,1,1.0,1.0,expansion_or_abbreviation_restore
demi,Demi,1,1,1.0,1.0,case_change
jonas,Jonas,1,1,1.0,1.0,case_change
VERO,vero,1,1,1.0,1.0,case_change
pensavo,Pensavo,1,1,1.0,1.0,case_change
doors,Doors,1,1,1.0,1.0,case_change
abiamo,abbiamo,1,1,1.0,1.0,other_substitution
li,Li,1,6,0.5,0.1667,case_change
con,Con,1,41,1.0,0.0244,case_change
devo,Devo,1,4,1.0,0.25,case_change
outlook,Outlook,1,1,1.0,1.0,case_change
ghe,ce,1,1,1.0,1.0,other_substitution
fò,faccio,1,1,1.0,1.0,expansion_or_abbreviation_restore
piu',più,1,1,1.0,1.0,accent_or_apostrophe_restore
